,grade,term,home_ownership,emp_length,safe_loans
3990,A, 36 months,MORTGAGE,1 year,-1
3991,F, 36 months,MORTGAGE,6 years,-1
3992,B, 60 months,MORTGAGE,8 years,-1
3993,E, 36 months,RENT,1 year,1
3994,B, 36 months,MORTGAGE,10+ years,1
3995,G, 60 months,RENT,3 years,-1
3996,C, 36 months,RENT,4 years,1
3997,D, 36 months,OWN,,-1
3998,C, 36 months,RENT,2 years,-1
3999,G, 60 months,RENT,10+ years,-1
4000,B, 36 months,MORTGAGE,4 years,-1
4001,B, 36 months,RENT,6 years,1
4002,D, 36 months,MORTGAGE,10+ years,-1
4003,C, 36 months,RENT,7 years,1
4004,C, 36 months,RENT,3 years,-1
4005,B, 36 months,OWN,3 years,1
4006,B, 36 months,RENT,3 years,1
4007,C, 36 months,MORTGAGE,5 years,-1
4008,C, 60 months,OWN,5 years,1
4009,D, 60 months,RENT,10+ years,-1
4010,C, 36 months,RENT,6 years,1
4011,B, 36 months,RENT,4 years,-1
4012,D, 60 months,MORTGAGE,6 years,1
4013,D, 36 months,RENT,2 years,-1
4014,A, 36 months,MORTGAGE,2 years,1
4015,B, 36 months,MORTGAGE,10+ years,1
4016,B, 36 months,RENT,10+ years,1
4017,E, 60 months,MORTGAGE,7 years,-1
4018,C, 36 months,RENT,10+ years,-1
4019,D, 36 months,RENT,7 years,-1
4020,C, 36 months,RENT,3 years,1
4021,C, 36 months,MORTGAGE,2 years,1
4022,A, 36 months,MORTGAGE,6 years,1
4023,E, 60 months,MORTGAGE,3 years,1
4024,A, 36 months,RENT,6 years,1
4025,C, 36 months,MORTGAGE,6 years,1
4026,B, 36 months,RENT,6 years,-1
4027,E, 36 months,RENT,< 1 year,1
4028,B, 36 months,RENT,10+ years,1
4029,D, 36 months,RENT,1 year,1
4030,D, 36 months,MORTGAGE,8 years,-1
4031,C, 36 months,MORTGAGE,10+ years,-1
4032,C, 60 months,RENT,4 years,1
4033,B, 36 months,MORTGAGE,5 years,1
4034,C, 60 months,RENT,4 years,-1
4035,F, 60 months,MORTGAGE,6 years,-1
4036,C, 36 months,RENT,7 years,-1
4037,B, 36 months,MORTGAGE,7 years,1
4038,D, 60 months,MORTGAGE,10+ years,-1
4039,B, 36 months,OWN,10+ years,1
4040,C, 36 months,MORTGAGE,4 years,1
4041,B, 36 months,MORTGAGE,10+ years,1
4042,B, 36 months,RENT,3 years,-1
4043,E, 36 months,RENT,7 years,-1
4044,E, 36 months,MORTGAGE,1 year,-1
4045,D, 36 months,RENT,4 years,-1
4046,G, 60 months,MORTGAGE,3 years,1
4047,C, 60 months,MORTGAGE,4 years,1
4048,D, 36 months,MORTGAGE,10+ years,-1
4049,A, 36 months,RENT,10+ years,1
4050,A, 36 months,MORTGAGE,,1
4051,D, 36 months,MORTGAGE,7 years,1
4052,E, 60 months,MORTGAGE,3 years,-1
4053,A, 36 months,OWN,1 year,1
4054,C, 60 months,RENT,3 years,-1
4055,C, 60 months,RENT,10+ years,1
4056,D, 36 months,RENT,10+ years,-1
4057,D, 36 months,RENT,< 1 year,-1
4058,C, 36 months,RENT,2 years,1
4059,C, 36 months,RENT,7 years,1
4060,B, 36 months,RENT,2 years,1
4061,C, 36 months,MORTGAGE,4 years,-1
4062,A, 36 months,MORTGAGE,6 years,1
4063,E, 60 months,RENT,5 years,-1
4064,C, 36 months,MORTGAGE,10+ years,1
4065,F, 60 months,RENT,10+ years,-1
4066,B, 36 months,MORTGAGE,10+ years,-1
4067,A, 36 months,RENT,2 years,1
4068,A, 36 months,MORTGAGE,10+ years,-1
4069,C, 60 months,RENT,< 1 year,1
4070,C, 36 months,MORTGAGE,10+ years,1
4071,E, 60 months,RENT,,-1
4072,B, 60 months,MORTGAGE,10+ years,-1
4073,D, 36 months,MORTGAGE,4 years,1
4074,A, 36 months,OWN,9 years,1
4075,A, 36 months,MORTGAGE,10+ years,1
4076,D, 36 months,MORTGAGE,3 years,-1
4077,D, 36 months,RENT,5 years,-1
4078,F, 36 months,MORTGAGE,10+ years,-1
4079,D, 36 months,MORTGAGE,3 years,-1
4080,D, 36 months,RENT,10+ years,-1
4081,B, 60 months,MORTGAGE,10+ years,1
4082,C, 36 months,RENT,8 years,1
4083,D, 36 months,MORTGAGE,10+ years,1
4084,B, 36 months,MORTGAGE,< 1 year,1
4085,E, 60 months,MORTGAGE,5 years,1
4086,D, 60 months,OWN,4 years,-1
4087,D, 36 months,RENT,< 1 year,1
4088,A, 36 months,RENT,1 year,-1
4089,D, 36 months,RENT,4 years,-1
4090,B, 36 months,MORTGAGE,4 years,1
4091,B, 36 months,OWN,< 1 year,1
4092,F, 60 months,RENT,< 1 year,1
4093,C, 36 months,RENT,9 years,1
4094,D, 60 months,MORTGAGE,8 years,-1
4095,A, 36 months,RENT,10+ years,-1
4096,E, 60 months,RENT,4 years,1
4097,B, 36 months,RENT,6 years,-1
4098,C, 36 months,RENT,1 year,-1
4099,B, 36 months,MORTGAGE,< 1 year,-1
4100,A, 36 months,RENT,3 years,1
4101,B, 60 months,MORTGAGE,5 years,1
4102,C, 36 months,RENT,5 years,1
4103,D, 36 months,RENT,1 year,-1
4104,B, 60 months,MORTGAGE,< 1 year,-1
4105,B, 36 months,MORTGAGE,2 years,-1
4106,B, 36 months,MORTGAGE,10+ years,-1
4107,B, 36 months,RENT,7 years,-1
4108,B, 36 months,RENT,9 years,-1
4109,C, 36 months,RENT,4 years,-1
4110,D, 36 months,RENT,9 years,-1
4111,D, 36 months,RENT,2 years,1
4112,C, 36 months,RENT,10+ years,1
4113,B, 60 months,MORTGAGE,7 years,-1
4114,B, 36 months,RENT,1 year,-1
4115,C, 36 months,MORTGAGE,7 years,1
4116,A, 36 months,OWN,6 years,1
4117,E, 60 months,MORTGAGE,10+ years,-1
4118,B, 36 months,RENT,2 years,-1
4119,D, 36 months,OWN,10+ years,-1
4120,B, 36 months,RENT,5 years,-1
4121,E, 60 months,RENT,10+ years,-1
4122,A, 36 months,RENT,< 1 year,1
4123,C, 60 months,OWN,,1
4124,C, 60 months,MORTGAGE,10+ years,-1
4125,D, 60 months,MORTGAGE,10+ years,-1
4126,C, 36 months,RENT,1 year,-1
4127,C, 60 months,MORTGAGE,,-1
4128,B, 36 months,RENT,2 years,-1
4129,B, 36 months,RENT,7 years,1
4130,C, 36 months,RENT,3 years,-1
4131,E, 36 months,RENT,7 years,1
4132,D, 36 months,MORTGAGE,10+ years,1
4133,D, 36 months,OWN,4 years,1
4134,C, 36 months,RENT,< 1 year,1
4135,C, 36 months,RENT,1 year,1
4136,B, 36 months,MORTGAGE,8 years,-1
4137,A, 36 months,MORTGAGE,5 years,1
4138,C, 36 months,MORTGAGE,10+ years,-1
4139,D, 36 months,MORTGAGE,10+ years,-1
4140,B, 36 months,MORTGAGE,6 years,1
4141,A, 36 months,MORTGAGE,10+ years,1
4142,C, 36 months,RENT,7 years,-1
4143,D, 36 months,RENT,9 years,-1
4144,C, 36 months,MORTGAGE,1 year,1
4145,C, 36 months,OWN,2 years,-1
4146,C, 36 months,MORTGAGE,< 1 year,-1
4147,E, 60 months,MORTGAGE,10+ years,-1
4148,C, 36 months,MORTGAGE,1 year,-1
4149,B, 36 months,OWN,< 1 year,-1
4150,E, 60 months,RENT,8 years,-1
4151,B, 36 months,RENT,4 years,1
4152,D, 36 months,RENT,< 1 year,1
4153,E, 60 months,RENT,10+ years,-1
4154,D, 36 months,MORTGAGE,3 years,1
4155,E, 60 months,MORTGAGE,9 years,-1
4156,D, 36 months,RENT,3 years,-1
4157,F, 36 months,RENT,4 years,1
4158,B, 36 months,MORTGAGE,10+ years,1
4159,A, 36 months,MORTGAGE,3 years,1
4160,A, 36 months,MORTGAGE,1 year,-1
4161,F, 36 months,RENT,6 years,-1
4162,B, 60 months,OWN,6 years,-1
4163,A, 36 months,RENT,2 years,1
4164,D, 60 months,RENT,4 years,-1
4165,F, 60 months,RENT,6 years,1
4166,C, 36 months,MORTGAGE,9 years,-1
4167,A, 36 months,OWN,3 years,1
4168,B, 36 months,RENT,10+ years,1
4169,A, 36 months,MORTGAGE,10+ years,1
4170,F, 60 months,MORTGAGE,6 years,-1
4171,C, 36 months,RENT,9 years,-1
4172,F, 60 months,OWN,8 years,1
4173,B, 36 months,MORTGAGE,4 years,-1
4174,C, 36 months,MORTGAGE,10+ years,-1
4175,D, 60 months,RENT,2 years,1
4176,C, 36 months,RENT,3 years,1
4177,B, 36 months,MORTGAGE,10+ years,-1
4178,C, 36 months,MORTGAGE,10+ years,1
4179,A, 36 months,RENT,1 year,1
4180,B, 36 months,OWN,4 years,1
4181,A, 36 months,OWN,3 years,1
4182,B, 60 months,MORTGAGE,3 years,-1
4183,B, 36 months,MORTGAGE,< 1 year,1
4184,C, 36 months,MORTGAGE,3 years,1
4185,D, 36 months,MORTGAGE,5 years,-1
4186,B, 36 months,RENT,5 years,1
4187,A, 36 months,RENT,< 1 year,-1
4188,A, 36 months,MORTGAGE,3 years,1
4189,A, 36 months,MORTGAGE,8 years,1
4190,G, 60 months,MORTGAGE,10+ years,-1
4191,E, 60 months,RENT,5 years,-1
4192,D, 36 months,RENT,10+ years,-1
4193,B, 36 months,RENT,9 years,-1
4194,B, 36 months,MORTGAGE,7 years,-1
4195,D, 36 months,OWN,2 years,-1
4196,E, 36 months,RENT,,-1
4197,D, 36 months,RENT,5 years,-1
4198,C, 36 months,RENT,1 year,-1
4199,B, 36 months,OWN,4 years,1
4200,F, 60 months,MORTGAGE,10+ years,1
4201,C, 36 months,RENT,10+ years,-1
4202,C, 60 months,RENT,6 years,-1
4203,C, 36 months,RENT,6 years,-1
4204,A, 36 months,RENT,2 years,1
4205,D, 36 months,OWN,< 1 year,1
4206,C, 36 months,MORTGAGE,7 years,1
4207,B, 36 months,MORTGAGE,3 years,1
4208,A, 36 months,MORTGAGE,10+ years,1
4209,C, 36 months,OWN,5 years,-1
4210,C, 36 months,MORTGAGE,5 years,-1
4211,A, 60 months,MORTGAGE,10+ years,1
4212,A, 36 months,MORTGAGE,5 years,-1
4213,A, 36 months,OWN,10+ years,1
4214,C, 60 months,MORTGAGE,3 years,1
4215,D, 36 months,MORTGAGE,10+ years,1
4216,E, 36 months,RENT,4 years,1
4217,B, 36 months,MORTGAGE,10+ years,1
4218,D, 60 months,MORTGAGE,,-1
4219,A, 36 months,RENT,4 years,-1
4220,B, 36 months,MORTGAGE,10+ years,-1
4221,D, 36 months,MORTGAGE,< 1 year,-1
4222,E, 60 months,RENT,10+ years,1
4223,B, 36 months,RENT,3 years,1
4224,B, 36 months,OWN,1 year,1
4225,A, 36 months,MORTGAGE,6 years,1
4226,A, 36 months,MORTGAGE,7 years,1
4227,A, 36 months,OWN,2 years,1
4228,B, 36 months,MORTGAGE,,1
4229,A, 36 months,MORTGAGE,10+ years,1
4230,C, 36 months,RENT,2 years,1
4231,G, 60 months,RENT,3 years,-1
4232,A, 36 months,RENT,2 years,1
4233,D, 36 months,MORTGAGE,10+ years,-1
4234,B, 36 months,RENT,6 years,1
4235,B, 36 months,RENT,1 year,1
4236,C, 36 months,RENT,8 years,-1
4237,A, 36 months,RENT,1 year,1
4238,E, 60 months,MORTGAGE,2 years,-1
4239,B, 36 months,RENT,2 years,1
4240,A, 36 months,MORTGAGE,10+ years,-1
4241,A, 36 months,MORTGAGE,10+ years,1
4242,C, 36 months,RENT,5 years,1
4243,B, 36 months,RENT,10+ years,1
4244,C, 60 months,RENT,6 years,1
4245,E, 60 months,MORTGAGE,10+ years,1
4246,A, 36 months,MORTGAGE,10+ years,1
4247,C, 36 months,MORTGAGE,3 years,-1
4248,B, 36 months,RENT,,1
4249,E, 36 months,MORTGAGE,10+ years,-1
4250,F, 36 months,RENT,7 years,-1
4251,D, 60 months,MORTGAGE,8 years,-1
4252,D, 60 months,MORTGAGE,8 years,1
4253,B, 36 months,RENT,< 1 year,1
4254,D, 36 months,RENT,10+ years,1
4255,B, 36 months,MORTGAGE,3 years,-1
4256,D, 60 months,RENT,7 years,-1
4257,C, 36 months,RENT,,-1
4258,D, 60 months,MORTGAGE,9 years,-1
4259,D, 36 months,MORTGAGE,10+ years,1
4260,C, 36 months,RENT,4 years,1
4261,D, 36 months,RENT,2 years,-1
4262,B, 36 months,MORTGAGE,8 years,1
4263,D, 60 months,MORTGAGE,10+ years,1
4264,D, 36 months,RENT,3 years,1
4265,B, 36 months,RENT,2 years,-1
4266,B, 36 months,MORTGAGE,6 years,1
4267,E, 60 months,MORTGAGE,5 years,-1
4268,C, 60 months,RENT,10+ years,1
4269,F, 36 months,RENT,6 years,-1
4270,A, 60 months,MORTGAGE,10+ years,1
4271,D, 36 months,MORTGAGE,3 years,1
4272,B, 60 months,MORTGAGE,6 years,1
4273,D, 36 months,RENT,4 years,1
4274,A, 36 months,MORTGAGE,2 years,-1
4275,C, 60 months,RENT,7 years,-1
4276,C, 60 months,RENT,10+ years,-1
4277,B, 36 months,MORTGAGE,6 years,1
4278,E, 36 months,OWN,5 years,-1
4279,D, 36 months,RENT,5 years,-1
4280,D, 36 months,MORTGAGE,6 years,-1
4281,F, 60 months,RENT,7 years,-1
4282,F, 36 months,RENT,,1
4283,A, 36 months,OWN,10+ years,1
4284,D, 36 months,RENT,10+ years,-1
4285,D, 36 months,RENT,10+ years,-1
4286,A, 36 months,RENT,1 year,1
4287,C, 36 months,RENT,< 1 year,1
4288,C, 60 months,MORTGAGE,1 year,-1
4289,A, 36 months,RENT,1 year,1
4290,A, 36 months,MORTGAGE,5 years,1
4291,B, 36 months,MORTGAGE,6 years,1
4292,B, 36 months,MORTGAGE,,1
4293,D, 36 months,RENT,5 years,-1
4294,A, 36 months,MORTGAGE,10+ years,1
4295,B, 36 months,MORTGAGE,6 years,1
4296,A, 36 months,MORTGAGE,7 years,1
4297,A, 36 months,MORTGAGE,2 years,1
4298,E, 36 months,RENT,3 years,-1
4299,F, 60 months,RENT,9 years,-1
4300,C, 60 months,MORTGAGE,6 years,-1
4301,B, 36 months,MORTGAGE,5 years,1
4302,C, 36 months,RENT,7 years,1
4303,A, 36 months,MORTGAGE,10+ years,-1
4304,B, 36 months,MORTGAGE,10+ years,-1
4305,D, 36 months,RENT,10+ years,-1
4306,A, 36 months,MORTGAGE,4 years,-1
4307,D, 36 months,RENT,10+ years,-1
4308,E, 36 months,RENT,< 1 year,1
4309,C, 60 months,MORTGAGE,< 1 year,1
4310,F, 60 months,RENT,3 years,1
4311,D, 36 months,MORTGAGE,< 1 year,1
4312,C, 36 months,MORTGAGE,5 years,1
4313,D, 36 months,MORTGAGE,2 years,1
4314,E, 60 months,RENT,9 years,-1
4315,D, 36 months,MORTGAGE,7 years,1
4316,D, 36 months,RENT,3 years,1
4317,C, 36 months,RENT,10+ years,1
4318,C, 36 months,OWN,4 years,-1
4319,B, 36 months,MORTGAGE,1 year,-1
4320,B, 36 months,MORTGAGE,< 1 year,1
4321,C, 36 months,OWN,6 years,-1
4322,B, 36 months,RENT,1 year,1
4323,B, 36 months,RENT,5 years,-1
4324,C, 36 months,RENT,2 years,1
4325,D, 60 months,RENT,2 years,1
4326,D, 36 months,RENT,2 years,-1
4327,E, 36 months,MORTGAGE,10+ years,-1
4328,B, 36 months,MORTGAGE,10+ years,1
4329,B, 36 months,OWN,10+ years,1
4330,C, 36 months,MORTGAGE,10+ years,-1
4331,E, 60 months,RENT,10+ years,1
4332,B, 36 months,RENT,4 years,-1
4333,C, 36 months,MORTGAGE,4 years,-1
4334,D, 36 months,MORTGAGE,10+ years,-1
4335,C, 36 months,RENT,5 years,-1
4336,C, 36 months,OWN,8 years,-1
4337,B, 36 months,MORTGAGE,10+ years,-1
4338,F, 60 months,MORTGAGE,6 years,-1
4339,F, 60 months,OWN,5 years,-1
4340,C, 36 months,MORTGAGE,10+ years,1
4341,E, 36 months,RENT,5 years,-1
4342,D, 36 months,RENT,3 years,1
4343,B, 36 months,RENT,6 years,1
4344,C, 36 months,RENT,6 years,-1
4345,C, 60 months,MORTGAGE,10+ years,1
4346,B, 60 months,RENT,4 years,-1
4347,D, 36 months,MORTGAGE,7 years,-1
4348,B, 36 months,MORTGAGE,< 1 year,1
4349,C, 36 months,RENT,2 years,1
4350,C, 36 months,RENT,2 years,1
4351,A, 36 months,RENT,9 years,-1
4352,B, 36 months,RENT,1 year,1
4353,A, 36 months,OWN,10+ years,1
4354,C, 36 months,MORTGAGE,2 years,1
4355,C, 36 months,RENT,6 years,-1
4356,B, 36 months,RENT,6 years,-1
4357,C, 60 months,OWN,2 years,-1
4358,C, 36 months,RENT,6 years,1
4359,C, 36 months,MORTGAGE,2 years,1
4360,E, 60 months,MORTGAGE,7 years,-1
4361,B, 36 months,RENT,3 years,1
4362,B, 36 months,MORTGAGE,5 years,-1
4363,C, 60 months,RENT,10+ years,1
4364,B, 60 months,RENT,1 year,-1
4365,B, 36 months,RENT,10+ years,-1
4366,B, 36 months,RENT,,-1
4367,B, 36 months,MORTGAGE,2 years,1
4368,F, 60 months,MORTGAGE,1 year,-1
4369,C, 36 months,RENT,5 years,-1
4370,C, 36 months,MORTGAGE,1 year,-1
4371,B, 36 months,RENT,10+ years,-1
4372,C, 36 months,MORTGAGE,4 years,1
4373,C, 60 months,RENT,2 years,1
4374,B, 60 months,RENT,,-1
4375,D, 36 months,MORTGAGE,10+ years,1
4376,D, 36 months,RENT,< 1 year,-1
4377,A, 36 months,RENT,10+ years,1
4378,E, 36 months,RENT,2 years,1
4379,D, 36 months,RENT,< 1 year,1
4380,D, 60 months,MORTGAGE,10+ years,-1
4381,B, 36 months,MORTGAGE,10+ years,1
4382,B, 36 months,MORTGAGE,10+ years,-1
4383,D, 60 months,MORTGAGE,10+ years,-1
4384,F, 60 months,RENT,,-1
4385,D, 36 months,MORTGAGE,7 years,1
4386,A, 36 months,MORTGAGE,10+ years,1
4387,B, 36 months,RENT,< 1 year,-1
4388,D, 36 months,MORTGAGE,7 years,-1
4389,B, 36 months,MORTGAGE,7 years,1
4390,D, 36 months,MORTGAGE,< 1 year,-1
4391,B, 36 months,MORTGAGE,8 years,1
4392,G, 60 months,MORTGAGE,4 years,1
4393,A, 36 months,RENT,< 1 year,-1
4394,A, 36 months,RENT,6 years,1
4395,C, 36 months,MORTGAGE,3 years,-1
4396,B, 36 months,RENT,10+ years,1
4397,E, 36 months,MORTGAGE,< 1 year,-1
4398,C, 60 months,RENT,10+ years,1
4399,D, 36 months,RENT,6 years,-1
4400,B, 36 months,RENT,3 years,-1
4401,C, 60 months,RENT,10+ years,-1
4402,G, 60 months,MORTGAGE,3 years,1
4403,B, 36 months,MORTGAGE,5 years,1
4404,A, 36 months,RENT,4 years,1
4405,D, 36 months,RENT,< 1 year,-1
4406,A, 36 months,MORTGAGE,2 years,1
4407,B, 60 months,MORTGAGE,,-1
4408,B, 60 months,MORTGAGE,10+ years,-1
4409,B, 36 months,MORTGAGE,10+ years,-1
4410,D, 36 months,MORTGAGE,5 years,-1
4411,E, 36 months,RENT,9 years,-1
4412,A, 36 months,MORTGAGE,2 years,1
4413,G, 60 months,RENT,< 1 year,-1
4414,B, 36 months,MORTGAGE,10+ years,1
4415,D, 36 months,MORTGAGE,10+ years,-1
4416,E, 60 months,RENT,9 years,-1
4417,A, 36 months,MORTGAGE,< 1 year,-1
4418,B, 36 months,MORTGAGE,< 1 year,-1
4419,E, 36 months,RENT,,-1
4420,C, 36 months,MORTGAGE,5 years,1
4421,A, 36 months,MORTGAGE,10+ years,1
4422,B, 36 months,MORTGAGE,8 years,1
4423,D, 36 months,MORTGAGE,8 years,1
4424,D, 60 months,RENT,< 1 year,-1
4425,B, 60 months,MORTGAGE,1 year,1
4426,C, 60 months,MORTGAGE,10+ years,1
4427,B, 36 months,OWN,7 years,1
4428,A, 36 months,MORTGAGE,2 years,1
4429,B, 36 months,RENT,2 years,1
4430,F, 36 months,RENT,3 years,1
4431,D, 36 months,RENT,4 years,-1
4432,A, 36 months,MORTGAGE,10+ years,-1
4433,D, 60 months,RENT,10+ years,1
4434,B, 36 months,RENT,3 years,1
4435,E, 60 months,RENT,10+ years,1
4436,F, 36 months,MORTGAGE,2 years,-1
4437,D, 36 months,OWN,10+ years,-1
4438,C, 36 months,RENT,7 years,-1
4439,F, 60 months,OWN,10+ years,1
4440,C, 36 months,OWN,6 years,-1
4441,C, 36 months,RENT,1 year,1
4442,C, 60 months,OWN,,-1
4443,A, 36 months,OWN,10+ years,-1
4444,E, 36 months,OWN,10+ years,-1
4445,B, 60 months,RENT,5 years,1
4446,E, 60 months,OWN,6 years,-1
4447,D, 60 months,RENT,10+ years,-1
4448,B, 60 months,RENT,9 years,-1
4449,A, 36 months,MORTGAGE,7 years,1
4450,E, 36 months,RENT,6 years,1
4451,A, 36 months,MORTGAGE,2 years,-1
4452,A, 36 months,RENT,4 years,1
4453,A, 36 months,MORTGAGE,10+ years,-1
4454,F, 60 months,MORTGAGE,5 years,-1
4455,B, 36 months,RENT,2 years,1
4456,C, 36 months,RENT,< 1 year,1
4457,B, 60 months,MORTGAGE,10+ years,1
4458,B, 36 months,RENT,5 years,-1
4459,C, 36 months,RENT,8 years,-1
4460,B, 60 months,RENT,1 year,-1
4461,C, 36 months,MORTGAGE,5 years,-1
4462,A, 36 months,MORTGAGE,< 1 year,1
4463,B, 36 months,MORTGAGE,6 years,-1
4464,A, 36 months,MORTGAGE,10+ years,-1
4465,E, 60 months,RENT,9 years,-1
4466,A, 36 months,RENT,3 years,1
4467,A, 36 months,RENT,6 years,1
4468,B, 36 months,MORTGAGE,5 years,1
4469,B, 36 months,RENT,10+ years,1
4470,B, 36 months,RENT,< 1 year,-1
4471,C, 36 months,MORTGAGE,3 years,1
4472,D, 36 months,MORTGAGE,6 years,-1
4473,G, 60 months,MORTGAGE,10+ years,-1
4474,C, 60 months,MORTGAGE,10+ years,-1
4475,F, 60 months,RENT,< 1 year,-1
4476,F, 60 months,OWN,4 years,-1
4477,A, 36 months,MORTGAGE,10+ years,-1
4478,E, 36 months,RENT,5 years,-1
4479,B, 36 months,MORTGAGE,10+ years,-1
4480,B, 36 months,MORTGAGE,4 years,-1
4481,D, 36 months,RENT,4 years,-1
4482,E, 60 months,OWN,4 years,1
4483,B, 60 months,OWN,< 1 year,1
4484,C, 60 months,MORTGAGE,10+ years,1
4485,D, 36 months,RENT,10+ years,1
4486,C, 60 months,RENT,10+ years,1
4487,B, 36 months,MORTGAGE,7 years,1
4488,B, 36 months,MORTGAGE,< 1 year,1
4489,A, 36 months,MORTGAGE,10+ years,1
4490,D, 36 months,MORTGAGE,10+ years,1
4491,F, 60 months,OWN,10+ years,-1
4492,E, 36 months,RENT,7 years,-1
4493,A, 36 months,MORTGAGE,10+ years,1
4494,C, 36 months,OWN,3 years,1
4495,C, 36 months,RENT,10+ years,1
4496,A, 36 months,MORTGAGE,10+ years,1
4497,B, 36 months,MORTGAGE,5 years,1
4498,D, 36 months,RENT,3 years,-1
4499,B, 36 months,RENT,4 years,1
4500,C, 60 months,MORTGAGE,10+ years,-1
4501,B, 36 months,MORTGAGE,< 1 year,1
4502,F, 60 months,MORTGAGE,1 year,-1
4503,B, 36 months,MORTGAGE,5 years,1
4504,C, 36 months,MORTGAGE,1 year,1
4505,B, 36 months,RENT,3 years,1
4506,C, 60 months,MORTGAGE,10+ years,-1
4507,F, 60 months,MORTGAGE,5 years,1
4508,B, 36 months,MORTGAGE,6 years,-1
4509,A, 36 months,MORTGAGE,10+ years,1
4510,C, 36 months,RENT,4 years,-1
4511,C, 60 months,MORTGAGE,10+ years,1
4512,A, 36 months,RENT,8 years,1
4513,C, 36 months,MORTGAGE,2 years,-1
4514,B, 60 months,MORTGAGE,10+ years,1
4515,D, 36 months,RENT,< 1 year,-1
4516,E, 60 months,RENT,< 1 year,-1
4517,C, 36 months,RENT,1 year,-1
4518,C, 60 months,MORTGAGE,10+ years,-1
4519,B, 36 months,RENT,10+ years,-1
4520,F, 60 months,RENT,10+ years,-1
4521,B, 36 months,OWN,10+ years,-1
4522,B, 36 months,RENT,< 1 year,1
4523,D, 60 months,RENT,10+ years,-1
4524,D, 36 months,MORTGAGE,3 years,-1
4525,C, 60 months,MORTGAGE,,-1
4526,F, 60 months,MORTGAGE,1 year,-1
4527,C, 36 months,RENT,10+ years,1
4528,C, 36 months,RENT,10+ years,-1
4529,E, 60 months,MORTGAGE,1 year,-1
4530,A, 36 months,MORTGAGE,,-1
4531,A, 36 months,RENT,< 1 year,-1
4532,A, 36 months,RENT,3 years,-1
4533,C, 36 months,MORTGAGE,,-1
4534,C, 36 months,OWN,6 years,1
4535,C, 36 months,RENT,2 years,1
4536,C, 36 months,MORTGAGE,10+ years,1
4537,D, 60 months,RENT,10+ years,-1
4538,D, 36 months,MORTGAGE,3 years,1
4539,E, 36 months,RENT,10+ years,-1
4540,E, 60 months,RENT,9 years,1
4541,E, 60 months,MORTGAGE,10+ years,-1
4542,A, 36 months,RENT,2 years,1
4543,B, 36 months,RENT,10+ years,1
4544,C, 36 months,RENT,4 years,1
4545,C, 36 months,RENT,4 years,1
4546,D, 60 months,OWN,1 year,-1
4547,B, 36 months,MORTGAGE,9 years,-1
4548,D, 36 months,OWN,3 years,1
4549,C, 60 months,MORTGAGE,10+ years,1
4550,B, 36 months,MORTGAGE,5 years,1
4551,C, 36 months,MORTGAGE,3 years,1
4552,A, 36 months,RENT,3 years,1
4553,C, 60 months,MORTGAGE,10+ years,1
4554,C, 36 months,RENT,8 years,1
4555,B, 36 months,RENT,8 years,1
4556,D, 36 months,MORTGAGE,6 years,1
4557,B, 36 months,OWN,6 years,-1
4558,B, 36 months,RENT,5 years,-1
4559,C, 36 months,MORTGAGE,9 years,1
4560,C, 36 months,RENT,1 year,-1
4561,F, 60 months,MORTGAGE,10+ years,-1
4562,B, 36 months,MORTGAGE,6 years,1
4563,D, 36 months,OWN,< 1 year,-1
4564,B, 36 months,RENT,5 years,1
4565,B, 36 months,OWN,5 years,1
4566,D, 36 months,RENT,2 years,1
4567,C, 60 months,MORTGAGE,10+ years,1
4568,B, 36 months,OWN,6 years,-1
4569,A, 36 months,OWN,5 years,-1
4570,F, 60 months,RENT,5 years,-1
4571,F, 60 months,MORTGAGE,10+ years,-1
4572,D, 60 months,RENT,5 years,-1
4573,D, 60 months,MORTGAGE,10+ years,1
4574,C, 60 months,MORTGAGE,< 1 year,-1
4575,C, 36 months,MORTGAGE,10+ years,1
4576,C, 60 months,MORTGAGE,10+ years,-1
4577,A, 36 months,RENT,3 years,1
4578,B, 36 months,MORTGAGE,6 years,1
4579,C, 36 months,RENT,10+ years,-1
4580,E, 36 months,MORTGAGE,< 1 year,-1
4581,D, 36 months,MORTGAGE,10+ years,-1
4582,B, 36 months,MORTGAGE,4 years,-1
4583,C, 60 months,RENT,10+ years,1
4584,C, 36 months,MORTGAGE,3 years,-1
4585,C, 36 months,RENT,2 years,1
4586,E, 60 months,MORTGAGE,10+ years,1
4587,B, 36 months,RENT,2 years,1
4588,D, 36 months,RENT,1 year,-1
4589,D, 60 months,MORTGAGE,3 years,1
4590,B, 36 months,RENT,10+ years,1
4591,B, 36 months,RENT,3 years,1
4592,B, 36 months,MORTGAGE,10+ years,1
4593,B, 60 months,MORTGAGE,2 years,1
4594,C, 36 months,MORTGAGE,,-1
4595,B, 36 months,RENT,10+ years,1
4596,D, 36 months,OWN,< 1 year,1
4597,C, 36 months,OWN,< 1 year,-1
4598,B, 36 months,RENT,6 years,1
4599,A, 60 months,MORTGAGE,1 year,-1
4600,E, 36 months,MORTGAGE,2 years,1
4601,B, 36 months,RENT,9 years,-1
4602,A, 36 months,RENT,1 year,-1
4603,A, 36 months,RENT,6 years,1
4604,C, 60 months,MORTGAGE,3 years,-1
4605,B, 36 months,MORTGAGE,3 years,1
4606,C, 36 months,MORTGAGE,6 years,-1
